Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Feature_3,Material_2,Material_3,Material_4,Feature_4,Feature_5,Feature_6,Material_5,Feature_7
men,Pants,2019-01-20,46,The North Face Men's Seymore Ski Pants,the_north_face,99,https://www.dickssportinggoods.com/p/the-north-face-mens-seymore-ski-pants-17tnommsymrpntxxxaoa/17tnommsymrpntxxxaoa,100% Polyamide(Nylon),防風機能,防水,透濕,,,,,,,,
men,Pants,2019-01-20,47,Nike Men's Dry Regular Fleece Pants,nike,46.99,https://www.dickssportinggoods.com/p/nike-mens-dry-regular-fleece-pants-17nikmmnkdrypntrgnfb/17nikmmnkdrypntrgnfb,100% Polyester,舒適伸展,刷毛布,,,,,,,,,
men,Pants,2019-01-20,48,Champion Men's Cross Train Pants,champion,20.99,https://www.dickssportinggoods.com/p/champion-mens-cross-train-pants-16chamcrsstrnpntxapb/16chamcrsstrnpntxapb,100% Polyester,蒸發性涼感,涼爽透氣,舒適伸展,,,單向導溼快乾,,,,,
men,Pants,2019-01-27,1,"
Nike Men's Club Fleece Pants
",,45,https://www.dickssportinggoods.com/p/nike-mens-club-fleece-pants-16nikmnswpnthflccnfb/16nikmnswpnthflccnfb,Polyester Blended,刷毛布,保暖禦寒,,,,,,,,,
men,Pants,2019-01-27,2,"
Nike Men's Jersey Lightweight Joggers
",,34.99,https://www.dickssportinggoods.com/p/nike-mens-jersey-lightweight-joggers-16nikmnswjggrjrsyapb/16nikmnswjggrjrsyapb,Cotton Blended,,,,,,,,,,,
men,Pants,2019-01-27,3,Outdoor Gear Men's Peak Bib,outdoor_gear,34.99,https://www.dickssportinggoods.com/p/outdoor-gear-mens-peak-bib-16ogemmpkbbxxxxxxaoa/16ogemmpkbbxxxxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,
men,Pants,2019-01-27,4,Outdoor Gear Men's Crest Pants,outdoor_gear,34.99,https://www.dickssportinggoods.com/p/outdoor-gear-mens-crest-pants-16ogemmcrstpntxxxaoa/16ogemmcrstpntxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,
men,Pants,2019-01-27,5,"
adidas Men's Tiro 17 Soccer Pants
",,,https://www.dickssportinggoods.com/p/adidas-mens-tiro-17-soccer-pants-16adimtrpntxxxxxxasba/16adimtrpntxxxxxxasba,,結構性透氣,涼爽透氣,,,,,,,,,
men,Pants,2019-01-27,6,adidas Men's Post Game Fleece Tapered Pants,adidas,42.99,https://www.dickssportinggoods.com/p/18adimpstgmflctprafb/18adimpstgmflctprafb,,結構性透氣,刷毛布,,,,,,,,,
men,Pants,2019-01-27,7,Under Armour Men's Vital Warm-Up Pants,under_armour,34.99,https://www.dickssportinggoods.com/p/under-armour-mens-vital-warm-up-pants-16uarmvtlwrmppntxapb/16uarmvtlwrmppntxapb,100% Polyester,涼爽透氣,單向導溼快乾,結構性透氣,,,,,,,,
men,Leggings & Tights,2019-01-27,8,Under Armour Men's HeatGear ? Length Leggings 2.0,under_armour,13.97,https://www.dickssportinggoods.com/p/under-armour-mens-heatgear-3-4-length-leggings-2-0-18uarmhgrmr2034lgapb/18uarmhgrmr2034lgapb,all/any Spandex,蒸發性涼感,提升運動效能設計,涼爽透氣,Polyamide(Nylon) Blended,Polyester Blended,結構性透氣,Spandex <= 10%,四面彈,單向導溼快乾,抗菌功能,
men,Pants,2019-01-27,9,"
adidas Men's Tiro 19 Training Pants
",,See Price In Cart,https://www.dickssportinggoods.com/p/adidas-mens-tiro-19-training-pants-18adimtr19pntxxxxasb/18adimtr19pntxxxxasb,100% Polyester,涼爽透氣,蒸發性涼感,結構性透氣,,,,,,,,
men,Pants,2019-01-27,10,Nike Men's Sportswear Club Fleece Joggers,nike,44.99,https://www.dickssportinggoods.com/p/nike-mens-sportswear-club-fleece-joggers-16nikmnswjggrflccnfb/16nikmnswjggrflccnfb,Cotton Blended,刷毛布,保暖禦寒,,Polyester Blended,,,,,,,
men,Leggings & Tights,2019-01-27,11,"
Nike Men's Pro 3/4 Length Tights
",,25.97,https://www.dickssportinggoods.com/p/nike-mens-pro-3-4-length-tights-17nikmnp3qttghtxxapb/17nikmnp3qttghtxxapb,all/any Spandex,四面彈,提升運動效能設計,舒適伸展,Polyester Blended,Spandex <= 10%,舒適平滑縫合,,單向導溼快乾,,,
men,Pants,2019-01-27,12,Reebok Men's Heather Cotton Fleece Jogger Pants,reebok,9.97,https://www.dickssportinggoods.com/p/reebok-mens-heather-cotton-fleece-jogger-pants-18rbkmhtrcttnflcjapb/18rbkmhtrcttnflcjapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Leggings & Tights,2019-01-27,13,Nike Men's Pro Tights,nike,31.99,https://www.dickssportinggoods.com/p/nike-mens-pro-tights-17nikmnptghtxxxxxapb/17nikmnptghtxxxxxapb,Polyester Blended,舒適伸展,單向導溼快乾,舒適平滑縫合,Spandex <= 10%,all/any Spandex,四面彈,,提升運動效能設計,,,
men,Pants,2019-01-27,14,Reebok Men's Cotton Fleece Jogger Pants,reebok,11.97,https://www.dickssportinggoods.com/p/reebok-mens-cotton-fleece-jogger-pants-18rbkmcttnflcjggrapb/18rbkmcttnflcjggrapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-27,15,Nike Men's Flat Front Golf Pants,nike,59.99,https://www.dickssportinggoods.com/p/nike-mens-flat-front-golf-pants-16nikmnkfltfrntpnapb/16nikmnkfltfrntpnapb,all/any Spandex,單向導溼快乾,,,Polyester Blended,Spandex <= 10%,,,,,,
men,Pants,2019-01-27,16,Nike Men's Therma Training Pants,nike,46.99,https://www.dickssportinggoods.com/p/nike-mens-therma-training-pants-18nikmmnkthrmpntxnfb/18nikmmnkthrmpntxnfb,100% Polyester,保暖禦寒,,,,,,,,,,
men,Pants,2019-01-27,17,adidas Men's Ultimate365 Golf Pants,adidas,59.99,https://www.dickssportinggoods.com/p/adidas-mens-ultimate365-golf-pants-16adimltmtpntblckapb/16adimltmtpntblckapb,Spandex 11~20%,涼爽透氣,單向導溼快乾,,all/any Spandex,Polyester Blended,,,,,,
men,Pants,2019-01-27,18,Nike Men's Dry Tapered Fleece Pants,nike,26.97,https://www.dickssportinggoods.com/p/nike-mens-dry-tapered-fleece-pants-17nikmmnkdrypnttpnfba/17nikmmnkdrypnttpnfba,100% Polyester,刷毛布,舒適伸展,,,,,,,,,
men,Pants,2019-01-27,19,Under Armour Men's Sportstyle Joggers,under_armour,59.99,https://www.dickssportinggoods.com/p/under-armour-mens-sportstyle-joggers-16uarmsprtstyljggapba/16uarmsprtstyljggapba,,保暖禦寒,單向導溼快乾,,,,,,,,,
men,Pants,2019-01-27,20,adidas Men's Post Game Fleece Jogger Pants,adidas,37.99,https://www.dickssportinggoods.com/p/adidas-mens-post-game-fleece-jogger-pants-18adimpstgmflcjggafb/18adimpstgmflcjggafb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-27,21,Nike Men's Sportswear Optic Jogger Pants,nike,52.50,https://www.dickssportinggoods.com/p/nike-mens-sportswear-optic-jogger-pants-18nikmmnswjggrptcnfb/18nikmmnswjggrptcnfb,Polyester Blended,,,,Cotton Blended,,,,,,,
men,"Compression wear,Leggings & Tights",2019-01-27,22,Under Armour Men's ColdGear Compression Leggings,under_armour,50,https://www.dickssportinggoods.com/p/under-armour-mens-coldgear-compression-leggings-18uarmcglggngxxxxapb/18uarmcglggngxxxxapb,Spandex 11~20%,提升運動效能設計,刷毛布,,Polyester Blended,all/any Spandex,,,,,,
men,Pants,2019-01-27,23,Under Armour Men's Armour Fleece Pants,under_armour,46.99,https://www.dickssportinggoods.com/p/under-armour-mens-armour-fleece-pants-18uarmfpntxxxxxxxapb/18uarmfpntxxxxxxxapb,100% Polyester,保暖禦寒,涼爽透氣,刷毛布,,,,,,,,
men,Pants,2019-01-27,24,Outdoor Gear Men's Polar Pants,outdoor_gear,59.99,https://www.dickssportinggoods.com/p/outdoor-gear-mens-polar-pants-18ogemmplrpntxxxxaoa/18ogemmplrpntxxxxaoa,100% Polyester,撥水,防水,涼爽透氣,,,,,,,,
men,Pants,2019-01-27,25,Under Armour Men's Threadborne Terry Fleece Joggers,under_armour,34.97,https://www.dickssportinggoods.com/p/under-armour-mens-threadborne-terry-fleece-joggers-18uarmthrdbrntrryapba/18uarmthrdbrntrryapba,Spandex 11~20%,結構性透氣,蒸發性涼感,涼爽透氣,all/any Spandex,Cotton Blended,刷毛布,Polyester Blended,,,,
men,Leggings & Tights,2019-01-27,26,"
Nike Men's Pro 3/4 Length Heather Tights
",,22.40,https://www.dickssportinggoods.com/p/nike-mens-pro-3-4-length-heather-tights-17nikmnp3qththrtgapb/17nikmnp3qththrtgapb,Polyamide(Nylon) Blended,舒適平滑縫合,提升運動效能設計,,all/any Spandex,Polyester Blended,,Spandex <= 10%,,,,
men,Pants,2019-01-27,27,The North Face Men's Seymore Pants,the_north_face,99.00,https://www.dickssportinggoods.com/p/the-north-face-mens-seymore-pants-18tnommsymrpntxxxaoa/18tnommsymrpntxxxaoa,100% Polyamide(Nylon),透濕,防風機能,防水,,,,,,,,
men,Pants,2019-01-27,28,adidas Men's Tiro 17 Sweat Pants,adidas,25.97,https://www.dickssportinggoods.com/p/adidas-mens-tiro-17-sweat-pants-17adimtr17pntfrncasb/17adimtr17pntfrncasb,,蒸發性涼感,單向導溼快乾,,,,,,,,,
men,Pants,2019-01-27,29,Nike Men's Dry Academy Soccer Pants,nike,33.97,https://www.dickssportinggoods.com/p/nike-mens-dry-academy-soccer-pants-16nikmcdmypntxxxxnsb/16nikmcdmypntxxxxnsb,100% Polyester,結構性透氣,涼爽透氣,單向導溼快乾,,,,,,,,
men,Pants,2019-01-27,30,Nike Men's Therma Tapered Pants,nike,38.92,https://www.dickssportinggoods.com/p/nike-mens-therma-tapered-pants-18nikmmnkthrmpnttnfb/18nikmmnkthrmpnttnfb,100% Polyester,保暖禦寒,,,,,,,,,,
men,Pants,2019-01-27,31,adidas Men's Tiro 3/4 Length Soccer Pants,adidas,19.97,https://www.dickssportinggoods.com/p/adidas-mens-tiro-3-4-length-soccer-pants-17adimtr1734pntxxasb/17adimtr1734pntxxasb,100% Polyester,結構性透氣,蒸發性涼感,單向導溼快乾,,,,,,,,
men,Pants,2019-01-27,32,Champion Men's Big C Fleece Joggers,champion,17.97,https://www.dickssportinggoods.com/p/champion-mens-big-c-fleece-joggers-18chamflcsttchdbgapb/18chamflcsttchdbgapb,100% Cotton,環保訴求,刷毛布,,Polyester Blended,,,,,,,
men,Pants,2019-01-27,33,adidas Men's Team Issue Fleece Pants,adidas,34.98,https://www.dickssportinggoods.com/p/adidas-mens-team-issue-fleece-pants-18adimtmssflctprdafb/18adimtmssflctprdafb,100% Polyester,化纖素材,刷毛布,保暖禦寒,,,單向導溼快乾,,,,,
