,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Material_4,Material_5,Feature_9,Feature_10,Feature_11
35,men,2019-01-06,36,"Amiley Men Sweatpants,Men's Elastic Waist Zipper Bottom Pants Stripes Joggers Sports Sweatpant",amileymensweatpants,12.66,https://www.amazon.com/Amiley-Men-Sweatpants-Elastic-Sweatpant/dp/B07GS93VDR,Cotton Blended,,,防風機能,,,,,,,,,,,,
36,men,2019-01-06,37,Lavento Men's Compression Shorts Sports Baselayer Cool Dry Tights,lavento,20.49,https://www.amazon.com/Lavento-Compression-Shorts-Sports-Baselayer/dp/B07J9Q2X8Q,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,涼爽透氣,異味控制,四面彈,單向導溼快乾,舒適平滑縫合,,,,,,,
37,men,2019-01-06,38,"Nooz Men's Quick Dry Powerflex Compression Baselayer Pants, Legging Tights for Men by",nooz,13.49,https://www.amazon.com/Nooz-Powerflex-Compression-Baselayer-Legging/dp/B01N55V3P4,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,四面彈,單向導溼快乾,人體工學舒適設計,提升運動效能設計,,,,,,,,
38,men,2019-01-06,39,Under Armour Men's HeatGear Run Graphic Tights,underarmour,47.07,https://www.amazon.com/Under-Armour-HeatGear-Graphic-Tights/dp/B077XPXBQ9,Spandex 11~20%,all/any Spandex,Polyester Blended,刷毛布,單向導溼快乾,,,,,,,,,,,
39,men,2019-01-06,40,TONLEN Men's Compression Shorts Athletic Tights Pants Leggings Packs,tonlen,23.92,https://www.amazon.com/TONLEN-Compression-Shorts-Athletic-Leggings/dp/B07G9WZXW3,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,涼爽透氣,人體工學舒適設計,四面彈,單向導溼快乾,,,,,,,
40,men,2019-01-06,41,Lavento Men's Compression Pants Pocket Baselayer Cool Dry Ankle Leggings Active Tights,lavento,18.99,https://www.amazon.com/Lavento-Compression-Pocket-Baselayer-Leggings/dp/B07JB8X21P,all/any Spandex,Spandex 11~20%,Polyester Blended,異味控制,四面彈,單向導溼快乾,提升運動效能設計,,,,,,,,,
41,men,2019-01-06,42,adidas Training Alphaskin Sport Long Tights,adidas,38.09,https://www.amazon.com/adidas-Training-Alphaskin-Sport-Tights/dp/B077ZJGYX2,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,涼爽透氣,結構性透氣,溼度管理,單向導溼快乾,,,,,,,,
42,men,2019-01-06,43,EU Men's Compression Tight Pants Base Layer Running Leggings,eu,19.98,https://www.amazon.com/EU-Compression-Tight-Running-Leggings/dp/B071HX1TSH,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,涼爽透氣,單向導溼快乾,,,,,,,,,
43,men,2019-01-06,44,FITTOO Men's Compression Fitness Pants Cool Dry Running Workout Tights Leggings,fittoo,5.99,https://www.amazon.com/FITTOO-Compression-Fitness-Running-Leggings/dp/B073FBDHW1,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,單向導溼快乾,提升運動效能設計,,,,,,,,,,
44,men,2019-01-06,45,Champion Men's Powerflex Tight,champion,20.46,https://www.amazon.com/Champion-P0880-Mens-Powerflex-Tight/dp/B01H62DJK2,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,涼爽透氣,結構性透氣,溼度管理,單向導溼快乾,舒適伸展,,,,,,,
45,men,2019-01-06,46,Under Armour Men's Extreme Twill Base Leggings,underarmour,80,https://www.amazon.com/Under-Armour-Extreme-Twill-Leggings/dp/B0785GFKZ9,100% Polyester,,,刷毛布,單向導溼快乾,,,,,,,,,,,
46,men,2019-01-06,47,Under Armour Men's HeatGear Armour ? Compression Leggings,underarmour,31.41,https://www.amazon.com/Under-Armour-HeatGear-Compression-Leggings/dp/B00U8TG6F6,Spandex 11~20%,all/any Spandex,Polyester Blended,抗紫外線,四面彈,舒適伸展,異味控制,單向導溼快乾,提升運動效能設計,,,,,,,
47,men,2019-01-06,48,"VEEWOO Men's Compression Pants Baselayer Cool Dry Sports Tights Leggings for Running,Workout,Training,Gym,Cycling",veewoo,20.49,https://www.amazon.com/VEEWOO-Compression-Baselayer-Leggings-Training/dp/B07DLS2ZVC,Polyester Blended,Spandex 11~20%,all/any Spandex,提升運動效能設計,涼爽透氣,蒸發性涼感,單向導溼快乾,四面彈,,,,,,,,
48,men,2019-01-06,49,"X31 Sports Mens Running Tights, Cycling Pants, Cold Weather Leggings with Zipper Pocket",x31sports,29.47,https://www.amazon.com/Running-Cycling-Leggings-X31-Sports/dp/B01B57BYQK,all/any Spandex,Polyester Blended,,反光功能,提升運動效能設計,涼爽透氣,保暖禦寒,,,,,,,,,
49,men,2019-01-06,50,CW-X Men's Endurance Pro Muscle Support Compression Tight,cwx,97.5,https://www.amazon.com/CW-X-Endurance-Muscle-Support-Compression/dp/B07FK76DCZ,,,,蒸發性涼感,提升運動效能設計,涼爽透氣,反光功能,單向導溼快乾,,,,,,,,
50,men,2019-01-06,51,CEP Men’s Crew Cut Performance Running Socks Ultralight Short Socks,cep,18.09,https://www.amazon.com/CEP-Performance-Running-Socks-Ultralight/dp/B00KHTXLIC,,,,溼度管理,提升運動效能設計,,,,,,,,,,,
51,men,2019-01-06,52,Xtextile Mens Snow Camouflage Sports Compression Tight Cool Dry Sports Pants Base Layer Running Leggings Yoga Rash Guard,xtextile,11.79,https://www.amazon.com/Xtextile-Camouflage-Compression-Running-Leggings/dp/B07C7H8HHK,all/any Spandex,Spandex <= 10%,Polyester Blended,一體成型,提升運動效能設計,,,,,,,,,,,
52,men,2019-01-06,53,Under Armour Men's ColdGear Armour Sublimated Leggings,underarmour,46,https://www.amazon.com/Under-Armour-ColdGear-Sublimated-Leggings/dp/B019YJJ81O,Spandex 11~20%,all/any Spandex,Polyester Blended,異味控制,四面彈,保暖禦寒,單向導溼快乾,舒適平滑縫合,刷毛布,,,,,,,
53,men,2019-01-06,54,New Men's Compression Pants/Baselayer Top,tesla,11.48,https://www.amazon.com/New-Mens-Compression-Pants-Baselayer/dp/B07MKRPSBZ,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,涼爽透氣,異味控制,單向導溼快乾,抗菌功能,,,,,,,,
54,men,2019-01-06,55,Skins A200 Women's Compression Capri Tights,skins,61.47,https://www.amazon.com/Skins-Womens-Compression-Capri-Tights/dp/B0054XY4ZU,,,,反光功能,提升運動效能設計,,,,,,,,,,,
55,men,2019-01-06,56,BS Men's Running Tights Compression Sports Cool Dry Pants Baselayer Fitness Yoga Spandex Leggings,bs,9.48,https://www.amazon.com/BS-Running-Compression-Baselayer-Leggings/dp/B076XSSWGD,all/any Spandex,,,提升運動效能設計,,,,,,,,,,,,
56,men,2019-01-06,57,Under Armour Men's CoolSwitch Run Tights,underarmour,73.25,https://www.amazon.com/Under-Armour-Mens-CoolSwitch-Tights/dp/B01FXFYKZW,Spandex >= 21%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,接觸涼感(非金屬類),反光功能,四面彈,單向導溼快乾,,,,,,,
57,men,2019-01-06,58,CEP Unisex Targeted Compression Quad Sleeves,cep,47.31,https://www.amazon.com/CEP-Unisex-Targeted-Compression-Sleeves/dp/B0083QN6F4,Spandex 11~20%,Polyamide(Nylon) Blended,all/any Spandex,提升運動效能設計,,,,,,,,,,,,
58,men,2019-01-06,59,Men's Elite Design Winter Thermal Running Tights Long Pants with Ankle Zipper and Reflective Elements,maks,24.99,https://www.amazon.com/Design-Thermal-Running-Reflective-Elements/dp/B013W2WCBC,all/any Spandex,Polyester Blended,Spandex <= 10%,反光功能,人體工學舒適設計,刷毛布,保暖禦寒,,,,,,,,,
59,men,2019-01-06,60,Secofly Men's 3/4 Tights Pants Compression Leggings 2 Pack,secofly,20.99,https://www.amazon.com/Secofly-Tights-Pants-Compression-Leggings/dp/B078XTMBH3,all/any Spandex,Polyester Blended,,提升運動效能設計,,,,,,,,,,,,
60,men,2019-01-06,61,2XU Men's Hyoptik Compression Tights,2xu,64.97,https://www.amazon.com/2XU-Mens-Hyoptik-Compression-Tights/dp/B01B8R1C96,all/any Spandex,,,反光功能,提升運動效能設計,抗紫外線,單向導溼快乾,,,,,,,,,
61,men,2019-01-06,62,CW-X Women's Muscle Support Endurance Pro 3/4 Cropped Compression Tight,cwx,75,https://www.amazon.com/CW-X-Support-Endurance-Cropped-Compression/dp/B07FK7VF5W,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,蒸發性涼感,涼爽透氣,反光功能,人體工學舒適設計,抗紫外線,四面彈,,Polyester Blended,,,,
62,men,2019-01-06,63,Sanabul New Item Mens 3/4 (Three Quarter Length) Compression Base Layer Workout Jiu Jitsu Spats Tights,sanabul,16.48,https://www.amazon.com/Sanabul-Quarter-Length-Compression-Workout/dp/B078V1J5LY,all/any Spandex,Polyamide(Nylon) Blended,Polyester Blended,抗紫外線,四面彈,反光功能,提升運動效能設計,,,,,,,,,
63,men,2019-01-06,64,Baleaf Men's Running wear Fitness Workout Compression Pants Base Layer Tights,baleaf,12.98,https://www.amazon.com/Baleaf-Running-Fitness-Workout-Compression/dp/B07CZ6HT35,all/any Spandex,Polyester Blended,Spandex <= 10%,提升運動效能設計,單向導溼快乾,四面彈,,,,,,,,,,
64,men,2019-01-06,65,CW-X Men's Expert Joint Support Compression Tights,cwx,80.73,https://www.amazon.com/CW-X-Expert-Support-Compression-Tights/dp/B001GAPYEU,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,蒸發性涼感,提升運動效能設計,四面彈,,,,,,,,,,
65,men,2019-01-06,66,Minaso Yoga Tights Men Quick Dry Compression Workout Shorts,minaso,15.99,https://www.amazon.com/Minaso-Tights-Compression-Workout-Shorts/dp/B07JFDR33W,all/any Spandex,Silk,Polyamide(Nylon) Blended,蒸發性涼感,提升運動效能設計,涼爽透氣,單向導溼快乾,,,,,,,,,
66,men,2019-01-06,67,Roar MMA Thermal Compression Pants Gym Workout Running Grappling Exercise Spats,roarint,29.99,https://www.amazon.com/Thermal-Compression-Workout-Grappling-Exercise/dp/B07FCSDXL5,,,,提升運動效能設計,抗菌功能,舒適平滑縫合,四面彈,蒸發性涼感,單向導溼快乾,,,,,,,
67,men,2019-01-06,68,ARSUXEO Men's Compression Tights Running Pants Baselayer Legging K3,arsuxeo,12.99,https://www.amazon.com/ARSUXEO-Compression-Running-Baselayer-Legging/dp/B07B9SV3RS,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,四面彈,單向導溼快乾,涼爽透氣,提升運動效能設計,,,,,,,,
68,men,2019-01-06,69,Mission Men's VaporActive Transformer 3/4 Training Tights,mission,28.99,https://www.amazon.com/Mission-VaporActive-Transformer-Training-Tights/dp/B01L3LHYZ8,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,四面彈,單向導溼快乾,舒適平滑縫合,舒適伸展,,,,,,,
69,men,2019-01-06,70,adidas Mens Alphaskin Sport 3/4 Tights,adidas,34.72,https://www.amazon.com/adidas-Mens-Alphaskin-Sport-Tights/dp/B07CVFFV7L,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,舒適平滑縫合,,,,,,,,,,,
70,men,2019-01-06,71,2XU Men's Core Compression Tights,2xu,89.96,https://www.amazon.com/2XU-Mens-Core-Compression-Tights/dp/B016IUIGBA,all/any Spandex,Polyamide(Nylon) Blended,,抗紫外線,單向導溼快乾,舒適平滑縫合,提升運動效能設計,,,,,,,,,
71,men,2019-01-06,72,Under Armour Men's Run True Leggings,underarmour,72.49,https://www.amazon.com/Under-Armour-Mens-True-Leggings/dp/B01M4LQQQX,Spandex >= 21%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,反光功能,四面彈,單向導溼快乾,,,,,,,,
72,men,2019-01-06,73,Tommie Copper Men's Core Tights,tommiecopper,74.75,https://www.amazon.com/Tommie-Copper-Mens-Core-Tights/dp/B00KVTSWJG,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,抗紫外線,,,,,,,,,,,
73,men,2019-01-06,74,Under Armour Men's ColdGear Run Tights,underarmour,75,https://www.amazon.com/Under-Armour-Mens-ColdGear-Tights/dp/B077XPXKJW,Spandex 11~20%,all/any Spandex,Polyester Blended,刷毛布,單向導溼快乾,,,,,,,,,,,
74,men,2019-01-06,75,FEOYA Mens Compression Swimsuit Shorts Dry Quick Bresthable Swimming Briefs Tights,feoya,11.69,https://www.amazon.com/FEOYA-Compression-Swimsuit-Bresthable-Swimming/dp/B06W2JR1DS,Spandex 11~20%,all/any Spandex,100% Polyester,提升運動效能設計,防水,涼爽透氣,,,,,,Polyamide(Nylon) Blended,,,,
75,men,2019-01-06,76,Panegy Mens Compression Pants Sports Stretchy Tights Base Leggings Gym Workout,panegy,10.38,https://www.amazon.com/Panegy-Compression-Stretchy-Leggings-Workout/dp/B077B7BYCP,Polyester Blended,,,蒸發性涼感,提升運動效能設計,單向導溼快乾,,,,,,,,,,
76,men,2019-01-06,77,Lace Poet Knee-High Yoga/Sleep Compression Toeless Socks,lacepoet,6,https://www.amazon.com/Lace-Poet-Knee-High-Compression-Toeless/dp/B07CRH2Q2N,all/any Spandex,Polyamide(Nylon) Blended,,提升運動效能設計,,,,,,,,,,,,
77,men,2019-01-06,78,NIKE Men's Pro Warm Tights,nike,78.64,https://www.amazon.com/NIKE-Mens-Pro-Warm-Tights/dp/B07GDX5DJY,,,,涼爽透氣,保暖禦寒,單向導溼快乾,,,,,,,,,,
78,men,2019-01-06,79,Under Armour Men's Baseline Knee Tights,underarmour,33,https://www.amazon.com/Under-Armour-Mens-Baseline-Tights/dp/B077XN4RZ9,all/any Spandex,Spandex <= 10%,Polyamide(Nylon) Blended,刷毛布,單向導溼快乾,,,,,,,Polyester Blended,,,,
79,men,2019-01-06,80,Under Armour Men's Coldgear Jacquard Compreshort Sleeveion Leggings,underarmour,66.5,https://www.amazon.com/Under-Armour-Coldgear-Compreshort-Sleeveion/dp/B01M3SVO3E,all/any Spandex,Spandex <= 10%,Polyester Blended,四面彈,刷毛布,單向導溼快乾,結構性透氣,異味控制,舒適平滑縫合,,,,,,,
80,men,2019-01-06,81,Tesla Men's/Women's Clothing and Acc,tesla,0,https://www.amazon.com/Tesla-Mens-Womens-Clothing-Acc/dp/B07JFRF757,100% Polyester,,,結構性透氣,超輕量,抗紫外線,輕量,,,,,,,,,
81,men,2019-01-06,82,DARCHEN Men's Compression Pants Black Workout Pants Cropped Leggings Cool Dry Base Layer with Quick Dry Towel,darchen,14.99,https://www.amazon.com/DARCHEN-Compression-Workout-Cropped-Leggings/dp/B07DC6XY1G,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,涼爽透氣,四面彈,單向導溼快乾,,,,,,,,
82,men,2019-01-06,83,Under Armour HeatGear ArmourVent Compression Leggings - SS15,underarmour,55.87,https://www.amazon.com/Under-Armour-HeatGear-ArmourVent-Compression/dp/B00SMYTY9E,,,,提升運動效能設計,涼爽透氣,異味控制,結構性透氣,四面彈,溼度管理,單向導溼快乾,抗菌功能,,,,,
83,men,2019-01-06,84,adidas Men's Running Response Long Tights,adidas,75.56,https://www.amazon.com/adidas-Mens-Running-Response-Tights/dp/B079NHM66L,,,,結構性透氣,蒸發性涼感,反光功能,,,,,,,,,,
84,men,2019-01-06,85,NATURET Compression Pants Running Tights Mens Leggings Baselayer Womens Cool Dry Sports Rreflect Light Tights,naturetreasures,12.83,https://www.amazon.com/NATURET-Compression-Leggings-Baselayer-Rreflect/dp/B074S2C4CL,all/any Spandex,Spandex 11~20%,Polyester Blended,抗紫外線,涼爽透氣,提升運動效能設計,,,,,,,,,,
85,men,2019-01-06,86,Under Armour Men's Run True ? Leggings,underarmour,62,https://www.amazon.com/Under-Armour-Mens-True-Leggings/dp/B01FXFYO26,Spandex >= 21%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,反光功能,四面彈,單向導溼快乾,,,,,,,,
