Product,Brand,Gender,Features,Materials,Price,Listed_Date,Url
Design 2 Move 3-Stripes High-Rise Long Tights,adidas,women,"環保訴求
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
","Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",50,2020-01-05,https://www.adidas.com/us/design-2-move-3-stripes-high-rise-long-tights/FL9248.html
Tights,adidas,women,,"Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex <= 10%
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/tights/FM2444.html
Stellar City Tight,Athleta,women,"微氣候的舒適調節,涼爽透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531088002&cid=1023333&pcid=1006482&vid=1&grid=pds_46_238_1
Salutation Stash Pocket II 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,抗紫外線
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531321032&cid=1023333&pcid=1006482&vid=1&grid=pds_15_238_1
Women's Burton Retro Base Layer Midweight Pant,Burton,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,蒸發性涼感
","Spandex,Spandex <= 10%
Spandex,all/any Spandex
Chemical fiber,Polyester,Polyester Blended
",59.95,2020-01-05,https://www.burton.com/us/en/p/womens-burton-retro-base-layer-midweight-pant/H20-218051.html
Believe This Solid 7/8 Tights?,adidas,women,"結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,Spandex >= 21%
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",55,2020-01-05,https://www.adidas.com/us/believe-this-solid-7-8-tights%E2%80%8B/FL2029.html
Believe This 2.0 Short Tights,adidas,women,"微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,Spandex >= 21%
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",45,2020-01-05,https://www.adidas.com/us/believe-this-2.0-short-tights/FJ7190.html
Believe This 2.0 Torch Long Tights,adidas,women,"微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,Spandex >= 21%
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",65,2020-01-05,https://www.adidas.com/us/believe-this-2.0-torch-long-tights/FJ7251.html
Believe This Primeknit FLW 7/8 Tights,adidas,women,"結構設計,一體成型
微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,all/any Spandex
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,Spandex <= 10%
",70,2020-01-05,https://www.adidas.com/us/believe-this-primeknit-flw-7-8-tights/FJ7164.html
Believe This Primeknit FLW 7/8 Tights,adidas,women,"結構設計,一體成型
微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,all/any Spandex
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,Spandex <= 10%
",70,2020-01-05,https://www.adidas.com/us/believe-this-primeknit-flw-7-8-tights/FJ7215.html
Seamless Tights,adidas,women,"微氣候的舒適調節,涼爽透氣,結構性透氣
結構設計,一體成型
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,Spandex <= 10%
Spandex,all/any Spandex
",60,2020-01-05,https://www.adidas.com/us/seamless-tights/FJ7216.html
Believe This 2.0 7/8 Tights,adidas,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,Spandex >= 21%
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",55,2020-01-05,https://www.adidas.com/us/believe-this-2.0-7-8-tights/FL2265.html
Designed 2 Move Inclusive-Sizing 7/8 Tights,adidas,women,"環保訴求
","Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Eco-friendly Fiber,Recycled Polyester / PET
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",50,2020-01-05,https://www.adidas.com/us/designed-2-move-inclusive-sizing-7-8-tights/FL9277.html
Tights,adidas,women,,"Spandex,Spandex <= 10%
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/tights/FM2480.html
Believe This 2.0 3/4 Tights,adidas,women,"結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Spandex,Spandex >= 21%
",50,2020-01-05,https://www.adidas.com/us/believe-this-2.0-3-4-tights/FJ7189.html
Believe This 2.0 Long Tights,adidas,women,"結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Spandex,Spandex >= 21%
",55,2020-01-05,https://www.adidas.com/us/believe-this-2.0-long-tights/FJ7188.html
Believe This 2.0 Geo Mesh Long Tights,adidas,women,"微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Spandex,Spandex >= 21%
",65,2020-01-05,https://www.adidas.com/us/believe-this-2.0-geo-mesh-long-tights/FJ7239.html
Trefoil Tights,adidas,women,,"Spandex,Spandex <= 10%
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/trefoil-tights/FM3309.html
Elation 7/8 Tight In Powervita?,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",64.99,2020-01-05,https://athleta.gap.com/browse/product.do?pid=293142342&cid=1023333&pcid=1006482&vid=1&grid=pds_35_238_1
Elation Tie Dye 7/8 Tight,Athleta,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,蒸發性涼感
機能添加,抗紫外線
","Spandex,all/any Spandex
Chemical fiber,Polyester,Polyester Blended
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531315012&cid=1023333&pcid=1006482&vid=1&grid=pds_29_238_1
Salutation Stash Pocket II 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,抗紫外線
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531321012&cid=1023333&pcid=1006482&vid=1&grid=pds_12_238_1
Stellar City Tight,Athleta,women,"微氣候的舒適調節,涼爽透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531088012&cid=1023333&pcid=1006482&vid=1&grid=pds_47_238_1
Women's Burton Midweight Base Layer Pant,Burton,women,"機能添加,異味控制
結構設計,舒適伸展,四面彈
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,涼爽透氣
機能添加,抗紫外線
",,49.95,2020-01-05,https://www.burton.com/us/en/p/womens-burton-midweight-base-layer-pant/W20-102661.html
Alphaskin Graphic 3/4 Tights,adidas,men,"環保訴求
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
微氣候的舒適調節,溫溼調節,溫度調節
機能添加,異味控制
","Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/alphaskin-graphic-3-4-tights/FJ5147.html
Believe This High-Rise  Iterations Tight,adidas,women,"環保訴求
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Eco-friendly Fiber,Recycled Polyester / PET
Spandex,all/any Spandex
Chemical fiber,Polyester,Recycled Polyester & Blended
",75,2020-01-05,https://www.adidas.com/us/believe-this-high-rise--iterations-tight/FK2289.html
Women's Burton [ak] Power Stretch? Base Layer Pant,Burton,women,"微氣候的舒適調節,防風防雨,防風機能
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,保暖禦寒
微氣候的舒適調節,保暖禦寒,刷毛布
","Spandex,Spandex <= 10%
Spandex,all/any Spandex
Chemical fiber,Polyester,Polyester Blended
",89.95,2020-01-05,https://www.burton.com/us/en/p/womens-burton-ak-power-stretch-base-layer-pant/W20-151141.html
Adicolor Tights,adidas,women,"環保訴求
","Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/adicolor-tights/FM2554.html
Boston Marathon? Saturday Short Tights,adidas,men,"環保訴求
","Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",55,2020-01-05,https://www.adidas.com/us/boston-marathon-saturday-short-tights/FQ6644.html
Favorites Tights,adidas,women,,"Spandex,Spandex <= 10%
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
",35,2020-01-05,https://www.adidas.com/us/favorites-tights/FM6193.html
Women's PFG Freezer? Cover Up,Columbia,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,涼爽透氣,接觸涼感(非金屬類)
微氣候的舒適調節,涼爽透氣
機能添加,抗紫外線
","Chemical fiber,Polyester,Polyester Blended
Spandex,all/any Spandex
Spandex,Spandex 11~20%
",55,2020-01-05,https://www.columbia.com/womens-pfg-freezer-cover-up-1884401.html
Salutation Stash Pocket II Capri in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",89,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531304002&cid=1150088&pcid=1006482&vid=1&grid=pds_7_238_1
Rainier Tight in Plush SuperSonic,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
機能添加,反光功能
環保訴求
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
","Chemical fiber,Polyamide(Nylon),Recycled Polyamide(Nylon) & Blended
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Eco-friendly Fiber,Recycled Polyamide/ Nylon / PA
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=487745052&cid=1023333&pcid=1006482&vid=1&grid=pds_37_238_1
Elation Tie Dye 7/8 Tight,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,抗紫外線
","Chemical fiber,Polyester,Polyester Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531315002&cid=1150088&pcid=1006482&vid=1&grid=pds_5_238_1
Salutation Stash Pocket II Twist 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",108,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531322012&cid=1023333&pcid=1006482&vid=1&grid=pds_23_238_1
Salutation Stash Pocket II 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=532566022&cid=1023333&pcid=1006482&vid=8&grid=pds_16_238_1
Salutation Stash Pocket II Gravel 7/8 Tight,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
環保訴求
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyester,Polyester Blended
Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Chemical fiber,Polyester,Recycled Polyester & Blended
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531306002&cid=1023333&pcid=1006482&vid=1&grid=pds_20_238_1
Salutation Stash Pocket II 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,抗紫外線
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣,蒸發性涼感
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531321002&cid=1023333&pcid=1006482&vid=1&grid=pds_13_238_1
Salutation Stash Pocket II Twist 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",108,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531322002&cid=1023333&pcid=1006482&vid=1&grid=pds_22_238_1
3-Stripes Tights,adidas,women,,"Spandex,Spandex <= 10%
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
",40,2020-01-05,https://www.adidas.com/us/3-stripes-tights/FM2553.html
Rainier Tight in Plush SuperSonic,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
機能添加,反光功能
環保訴求
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
","Chemical fiber,Polyamide(Nylon),Recycled Polyamide(Nylon) & Blended
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Eco-friendly Fiber,Recycled Polyamide/ Nylon / PA
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=487745062&cid=1023333&pcid=1006482&vid=1&grid=pds_38_238_1
Salutation Stash Pocket II 7/8 Tight in Powervita,Athleta,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣
機能添加,抗紫外線
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531321022&cid=1023333&pcid=1006482&vid=1&grid=pds_14_238_1
Inclination Moto Tight in Powervita?,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,抗紫外線
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",59.99,2020-01-05,https://athleta.gap.com/browse/product.do?pid=490560052&cid=1023333&pcid=1006482&vid=1&grid=pds_36_238_1
Salutation Stash Pocket II Capri in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",89,2020-01-05,https://athleta.gap.com/browse/product.do?pid=532569012&cid=1023333&pcid=1006482&vid=8&grid=pds_26_238_1
Nike Yoga Men's 3/4 Tights,NIKE,men,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,舒適伸展,舒適平滑縫合
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Spandex,Spandex >= 21%
",65,2020-01-05,https://www.nike.com/t/yoga-mens-3-4-tights-rZZ3hK/CT1830-068
Runner ID Thermo-R+ Women's Leggings,PUMA,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
機能添加,反光功能
微氣候的舒適調節,涼爽透氣,結構性透氣
","Spandex,Spandex 11~20%
Chemical fiber,Polyester,Polyester Blended
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Chemical fiber,Polyester,100% Polyester
",70,2020-01-05,https://us.puma.com/en/us/pd/runner-id-thermo-r%2B-womens-leggings/518897.html?dwvar_518897_color=02
Salutation Stash Pocket II Capri in Powervita,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
機能添加,抗紫外線
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
",89,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531304032&cid=1023333&pcid=1006482&vid=1&grid=pds_25_238_1
Salutation Stash Pocket II Gravel 7/8 Tight,Athleta,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,提升運動效能設計
環保訴求
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyester,Polyester Blended
Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Chemical fiber,Polyester,Recycled Polyester & Blended
",98,2020-01-05,https://athleta.gap.com/browse/product.do?pid=531306012&cid=1023333&pcid=1006482&vid=1&grid=pds_21_238_1
Women's Burton Expedition Base Layer Pant,Burton,women,"機能添加,異味控制
結構設計,舒適伸展,四面彈
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,涼爽透氣
",,79.95,2020-01-05,https://www.burton.com/us/en/p/womens-burton-expedition-base-layer-pant/W20-102651.html
Women's Burton [ak] Turbine Pant,Burton,women,"微氣候的舒適調節,保暖禦寒,刷毛布
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,蒸發性涼感
","Chemical fiber,Polyester,Polyester Blended
",139.95,2020-01-05,https://www.burton.com/us/en/p/womens-burton-ak-turbine-pant/W20-189081.html
Luxe Eclipse Women's 7/8 Leggings,PUMA,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
結構設計,舒適伸展,舒適平滑縫合
","Chemical fiber,Polyester,Polyester Blended
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,all/any Spandex
Spandex,Spandex 11~20%
",55,2020-01-05,https://us.puma.com/en/us/pd/luxe-eclipse-womens-7%2F8-leggings/518920.html?dwvar_518920_color=01
Logo Elastic Women's 7/8 Leggings,PUMA,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
結構設計,舒適伸展,舒適平滑縫合
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex <= 10%
Spandex,all/any Spandex
",45,2020-01-05,https://us.puma.com/en/us/pd/logo-elastic-womens-7%2F8-leggings/518945.html?dwvar_518945_color=03
Feel It Women's Mesh 7/8 Leggings,PUMA,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
結構設計,舒適伸展,舒適平滑縫合
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",55,2020-01-05,https://us.puma.com/en/us/pd/feel-it-womens-mesh-7%2F8-leggings/518934.html?dwvar_518934_color=01
Last Lap Graphic Women's 3/4 Leggings,PUMA,women,"微氣候的舒適調節,涼爽透氣
機能添加,反光功能
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
Chemical fiber,Polyester,100% Polyester
",45,2020-01-05,https://us.puma.com/en/us/pd/last-lap-graphic-womens-3%2F4-leggings/518908.html?dwvar_518908_color=03
